Id	Form	Lemma	UPosTag	XPosTag	Feats	Head	DepRel	Deps	Misc
48	кореш	кореш	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	56	obl	_	@juad1986m-words#@juad1986m#1316.915#1317.2
49	ага	ага	INTJ	_		48	nmod	_	@juad1986m-words#@juad1986m#1362.217#1362.699
50	просто	просто	PART	_	_	51	advmod	_	@juad1986m-words#@juad1986m#1391.906#1392.146
51	потому	потому	SCONJ	_	Degree=Pos	56	advmod	_	@juad1986m-words#@juad1986m#1392.146#1392.386
52	он	он	PRON	_	Case=Nom|Gender=Masc|Number=Sing|Person=3	56	nsubj	_	@juad1986m-words#@juad1986m#1392.386#1392.626
53	лежачий	лежачий	ADJ	_	Animacy=Inan|Case=Acc|Degree=Pos|Gender=Masc|Number=Sing	54	amod	_	@juad1986m-words#@juad1986m#1392.626#1392.866
54	образ	образ	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	56	obl	_	@juad1986m-words#@juad1986m#1392.866#1393.106
55	жизни	жизнь	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	54	nmod	_	@juad1986m-words#@juad1986m#1393.106#1393.346
56	вел	вести	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	44	ccomp	_	@juad1986m-words#@juad1986m#1393.346#1393.586
57	?	?	PUNCT	_	_	56	punct	_	@juad1986m-words#@juad1986m#1393.586#1393.826
58	ага	ага	INTJ	_		56	obj	_	@juad1986m-words#@juad1986m#1405.17#1405.483
59	и	и	CCONJ	_	_	62	cc	_	@juad1986m-words#@juad1986m#1410.252#1410.421
60	сколько	сколько	PRON	_	_	62	advmod	_	@juad1986m-words#@juad1986m#1410.421#1410.591
61	ему	он	PRON	_	Case=Dat|Gender=Masc|Number=Sing|Person=3	62	iobj	_	@juad1986m-words#@juad1986m#1410.591#1410.76
62	было	быть	VERB	_	Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	56	conj	_	@juad1986m-words#@juad1986m#1410.76#1410.93
63	?	?	PUNCT	_	_	62	punct	_	@juad1986m-words#@juad1986m#1410.93#1411.1
64	ух	ух 	INTJ	_		62	nsubj	_	@juad1986m-words#@juad1986m#1412.795#1413.399
65	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	70	nsubj	_	@juad1986m-words#@juad1986m#1413.519#1413.797
66	тогда	тогда	ADV	_	Degree=Pos	70	advmod	_	@juad1986m-words#@juad1986m#1413.797#1414.076
67	тоже	тоже	PART	_	_	70	advmod	_	@juad1986m-words#@juad1986m#1414.076#1414.355
68	был	быть	AUX	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	70	cop	_	@juad1986m-words#@juad1986m#1414.355#1414.633
69	в	в	ADP	_	_	70	case	_	@juad1986m-words#@juad1986m#1414.633#1414.912
70	Будапеште	Будапешт	PROPN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	64	nmod	_	@juad1986m-words#@juad1986m#1414.912#1415.191
71	?	?	PUNCT	_	_	70	punct	_	@juad1986m-words#@juad1986m#1415.191#1415.47
72	какого	какой	PRON	_	Case=Gen|Gender=Neut|Number=Sing	73	det	_	@juad1986m-words#@juad1986m#1424.7#1425.006
73	это	это	DET	_	Case=Acc|Gender=Neut|Number=Sing	74	obj	_	@juad1986m-words#@juad1986m#1425.006#1425.313
74	хоронить	хоронить	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	70	conj	_	@juad1986m-words#@juad1986m#1425.313#1425.62
75	кореша	кореш	NOUN	_	Animacy=Anim|Case=Acc|Gender=Masc|Number=Sing	74	obj	_	@juad1986m-words#@juad1986m#1425.62#1425.927
76	в	в	ADP	_	_	78	case	_	@juad1986m-words#@juad1986m#1425.927#1426.234
77	таком	такой	PRON	_	Case=Loc|Gender=Masc|Number=Sing	78	det	_	@juad1986m-words#@juad1986m#1426.234#1426.541
78	возрасте	возраст	NOUN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	86	obl	_	@juad1986m-words#@juad1986m#1426.541#1426.848
79	?	?	PUNCT	_	_	78	punct	_	@juad1986m-words#@juad1986m#1426.848#1427.155
80	ааа	ааа	INTJ	_		86	nsubj	_	@juad1986m-words#@juad1986m#1479.741#1480.0
81	обложка	обложка	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	80	nmod	_	@juad1986m-words#@juad1986m#1503.802#1504.212
82	альбома	альбом	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	81	nmod	_	@juad1986m-words#@juad1986m#1504.212#1504.622
83	фри	фри	ADJ	_	Degree=Pos	86	advmod	_	@juad1986m-words#@juad1986m#1504.622#1505.033
84	это	это	DET	_	Case=Nom|Gender=Neut|Number=Sing	86	nsubj	_	@juad1986m-words#@juad1986m#1505.456#1505.754
85	реально	реально	ADV	_	Degree=Pos	86	advmod	_	@juad1986m-words#@juad1986m#1505.754#1506.053
86	больше	много	ADJ	_	_	74	advmod	_	@juad1986m-words#@juad1986m#1506.053#1506.352
87	сорока	сорок	NUM	_	Case=Gen	88	nummod	_	@juad1986m-words#@juad1986m#1506.352#1506.651
88	килограммов	килограмм	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur	86	obl	_	@juad1986m-words#@juad1986m#1506.651#1506.95
89	картохи	картоха	NOUN	_	Animacy=Anim|Case=Gen|Gender=Fem|Number=Sing	88	nmod	_	@juad1986m-words#@juad1986m#1506.95#1507.249
90	?	?	PUNCT	_	_	89	punct	_	@juad1986m-words#@juad1986m#1507.249#1507.548
91	в	в	ADP	_	_	92	case	_	@juad1986m-words#@juad1986m#1511.252#1511.513
92	фастфуде	фастфуд	NOUN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	89	nmod	_	@juad1986m-words#@juad1986m#1511.513#1511.775
93	ааа	ааа	INTJ	_		92	nmod	_	@juad1986m-words#@juad1986m#1512.504#1512.775
94	ага	ага	INTJ	_		93	nmod	_	@juad1986m-words#@juad1986m#1521.037#1521.38
95	так	так	ADV	_	Degree=Pos	101	advmod	_	@juad1986m-words#@juad1986m#1522.677#1523.0
96	а	а	CCONJ	_	_	101	cc	_	@juad1986m-words#@juad1986m#1533.234#1533.505
97	/	/	PUNCT	_	_	101	punct	_	@juad1986m-words#@juad1986m#1533.505#1533.777
98	ну	ну	PART	_	_	99	discourse	_	@juad1986m-words#@juad1986m#1533.777#1534.048
99	то	то	PART	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	101	nsubj	_	@juad1986m-words#@juad1986m#1534.048#1534.32
100	есть	быть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	99	fixed	_	@juad1986m-words#@juad1986m#1534.32#1534.592
101	покупали	покупать	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	86	conj	_	@juad1986m-words#@juad1986m#1534.592#1534.863
102	круглую	круглый	ADJ	_	Case=Acc|Degree=Pos|Gender=Fem|Number=Sing	103	amod	_	@juad1986m-words#@juad1986m#1534.863#1535.135
103	картоху	картоха	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	101	obj	_	@juad1986m-words#@juad1986m#1535.135#1535.407
104	/	/	PUNCT	_	_	105	punct	_	@juad1986m-words#@juad1986m#1535.407#1535.678
105	круглую	круглый	ADJ	_	Case=Acc|Degree=Pos|Gender=Fem|Number=Sing	103	amod	_	@juad1986m-words#@juad1986m#1535.678#1535.95
106	?	?	PUNCT	_	_	105	punct	_	@juad1986m-words#@juad1986m#1535.95#1536.222
107	а	а	INTJ	_		112	cc	_	@juad1986m-words#@juad1986m#1539.598#1539.875
108	/	/	PUNCT	_	_	112	punct	_	@juad1986m-words#@juad1986m#1539.875#1540.153
109	понятно	понятно	ADV	_	Degree=Pos|Gender=Neut|Number=Sing|Variant=Short	112	parataxis	_	@juad1986m-words#@juad1986m#1540.153#1540.43
110	/	/	PUNCT	_	_	109	punct	_	@juad1986m-words#@juad1986m#1540.43#1540.708
111	в	в	ADP	_	_	112	case	_	@juad1986m-words#@juad1986m#1540.708#1540.986
112	этом	это	DET	_	Case=Loc|Gender=Neut|Number=Sing	105	conj	_	@juad1986m-words#@juad1986m#1540.986#1541.263
113	/	/	PUNCT	_	_	116	punct	_	@juad1986m-words#@juad1986m#1541.263#1541.541
114	в	в	ADP	_	_	116	case	_	@juad1986m-words#@juad1986m#1541.541#1541.818
115	замороженные	заморозить	VERB	_	Aspect=Perf|Case=Nom|Number=Plur|Tense=Past|VerbForm=Part|Voice=Pass	116	amod	_	@juad1986m-words#@juad1986m#1541.818#1542.096
116	продукты	продукт	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Plur	112	parataxis	_	@juad1986m-words#@juad1986m#1542.096#1542.374
117	блин	блин	INTJ	_		116	nmod	_	@juad1986m-words#@juad1986m#1542.818#1543.073
118	/	/	PUNCT	_	_	121	punct	_	@juad1986m-words#@juad1986m#1543.073#1543.328
119	все	все	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	121	nsubj	_	@juad1986m-words#@juad1986m#1543.328#1543.583
120	тогда	тогда	ADV	_	Degree=Pos	121	advmod	_	@juad1986m-words#@juad1986m#1543.583#1543.838
121	ладно	ладно	PART	_	_	116	advmod	_	@juad1986m-words#@juad1986m#1543.838#1544.094
122	и	и	CCONJ	_	_	126	cc	_	@juad1986m-words#@juad1986m#1544.094#1544.225
123	в	в	ADP	_	_	124	case	_	@juad1986m-words#@juad1986m#1544.225#1544.357
124	итоге	итог	NOUN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	126	obl	_	@juad1986m-words#@juad1986m#1544.357#1544.489
125	сколько	сколько	PRON	_	_	126	nsubj	_	@juad1986m-words#@juad1986m#1544.489#1544.62
126	было	быть	VERB	_	Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	121	conj	_	@juad1986m-words#@juad1986m#1544.62#1544.752
127	?	?	PUNCT	_	_	126	punct	_	@juad1986m-words#@juad1986m#1544.752#1544.884
128	слово	слово	NOUN	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	167	nmod	_	@juad1986m-words#@juad1986m#1549.723#1550.024
129	русские	русский	ADJ	_	Case=Nom|Degree=Pos|Number=Plur	128	amod	_	@juad1986m-words#@juad1986m#1550.024#1550.326
130	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	131	nsubj	_	@juad1986m-words#@juad1986m#1550.326#1550.627
131	любишь	любить	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	167	parataxis	_	@juad1986m-words#@juad1986m#1550.627#1550.929
132	не	не	PART	_	_	133	advmod	_	@juad1986m-words#@juad1986m#1550.929#1551.231
133	меньше	менее	ADV	_	Degree=Cmp	131	advmod	_	@juad1986m-words#@juad1986m#1551.231#1551.532
134	чем	чем	SCONJ	_	_	133	fixed	_	@juad1986m-words#@juad1986m#1551.532#1551.834
135	мы	мы	PRON	_	Case=Nom|Number=Plur|Person=1	167	nsubj	_	@juad1986m-words#@juad1986m#1551.834#1552.136
136	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	138	nsubj	_	@juad1986m-words#@juad1986m#1554.892#1555.163
137	постоянно	постоянно	ADV	_	Degree=Pos	138	advmod	_	@juad1986m-words#@juad1986m#1555.163#1555.435
138	используешь	использовать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	167	parataxis	_	@juad1986m-words#@juad1986m#1555.435#1555.707
139	его	он	PRON	_	Case=Acc|Gender=Masc|Number=Sing|Person=3	138	obj	_	@juad1986m-words#@juad1986m#1555.707#1555.979
140	в	в	ADP	_	_	141	case	_	@juad1986m-words#@juad1986m#1555.979#1556.251
141	треках	трек	NOUN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Plur	138	obl	_	@juad1986m-words#@juad1986m#1556.251#1556.523
142	ааа	ааа	INTJ	_		141	nmod	_	@juad1986m-words#@juad1986m#1556.523#1556.794
143	для	для	ADP	_	_	144	case	_	@juad1986m-words#@juad1986m#1556.794#1557.066
144	начала	начало	NOUN	_	Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing	138	obl	_	@juad1986m-words#@juad1986m#1557.066#1557.338
145	/	/	PUNCT	_	_	147	punct	_	@juad1986m-words#@juad1986m#1557.338#1557.61
146	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	147	nsubj	_	@juad1986m-words#@juad1986m#1557.61#1557.882
147	русский	русский	ADJ	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	138	obl	_	@juad1986m-words#@juad1986m#1557.882#1558.154
148	?	?	PUNCT	_	_	147	punct	_	@juad1986m-words#@juad1986m#1558.154#1558.426
149	фамилия	фамилия	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	147	appos	_	@juad1986m-words#@juad1986m#1559.695#1560.183
150	Инсаров	Инсаров	PROPN	_	Animacy=Anim|Case=Gen|Gender=Masc|Number=Plur	149	nmod	_	@juad1986m-words#@juad1986m#1560.183#1560.671
151	ну	ну	PART	_	_	152	parataxis	_	@juad1986m-words#@juad1986m#1562.314#1562.675
152	эээ	эээ	INTJ	_		149	nmod	_	@juad1986m-words#@juad1986m#1562.675#1563.037
153	Инсар	Инсар	PROPN	_	Animacy=Anim|Case=Gen|Gender=Fem|Number=Sing	152	nmod	_	@juad1986m-words#@juad1986m#1563.037#1563.399
154	это	это	DET	_	Case=Nom|Gender=Neut|Number=Sing	138	obj	_	@juad1986m-words#@juad1986m#1563.399#1563.76
155	река	река	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	167	nsubj	_	@juad1986m-words#@juad1986m#1563.76#1564.122
156	в	в	ADP	_	_	157	case	_	@juad1986m-words#@juad1986m#1564.122#1564.484
157	Мордовии	Мордовия	PROPN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	155	nmod	_	@juad1986m-words#@juad1986m#1564.484#1564.846
158	иии	иии	INTJ	_		167	nmod	_	@juad1986m-words#@juad1986m#1565.7#1566.43
159	никаких	никакой	PRON	_	Case=Gen|Number=Plur	160	det	_	@juad1986m-words#@juad1986m#1568.733#1569.184
160	связей	связь	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Plur	158	nmod	_	@juad1986m-words#@juad1986m#1569.184#1569.636
161	не	не	PART	_	_	162	advmod	_	@juad1986m-words#@juad1986m#1569.984#1570.209
162	/	/	PUNCT	_	_	160	punct	_	@juad1986m-words#@juad1986m#1570.209#1570.435
163	ну	ну	PART	_	_	164	parataxis	_	@juad1986m-words#@juad1986m#1570.435#1570.661
164	все	все	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	167	nmod	_	@juad1986m-words#@juad1986m#1570.661#1570.886
165	равно	равно	ADV	_	Degree=Pos|Gender=Neut|Number=Sing|Variant=Short	164	fixed	_	@juad1986m-words#@juad1986m#1570.886#1571.112
166	это	это	DET	_	Case=Nom|Gender=Neut|Number=Sing	167	nsubj	_	@juad1986m-words#@juad1986m#1571.112#1571.338
167	история	история	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	126	parataxis	_	@juad1986m-words#@juad1986m#1571.338#1571.564
168	которая	который	PRON	_	Case=Nom	177	nsubj	_	@juad1986m-words#@juad1986m#1571.564#1571.789
169	эээ	эээ	INTJ	_		177	advmod	_	@juad1986m-words#@juad1986m#1571.789#1572.015
170	там	там	ADV	_	Degree=Pos	169	advmod	_	@juad1986m-words#@juad1986m#1572.015#1572.241
171	в	в	ADP	_	_	177	case	_	@juad1986m-words#@juad1986m#1572.241#1572.467
172	в	в	ADP	_	_	177	case	_	@juad1986m-words#@juad1986m#1572.467#1572.941
173	татарские	татарский	ADJ	_	Animacy=Inan|Case=Acc|Degree=Pos|Number=Plur	177	amod	_	@juad1986m-words#@juad1986m#1572.941#1573.415
174	в	в	ADP	_	_	176	case	_	@juad1986m-words#@juad1986m#1573.415#1573.889
175	татарскую	татарский	ADJ	_	Case=Acc|Degree=Pos|Gender=Fem|Number=Sing	176	amod	_	@juad1986m-words#@juad1986m#1573.889#1574.363
176	сторону	сторона	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	177	obl	_	@juad1986m-words#@juad1986m#1574.363#1574.837
177	уводит	уводить	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	167	acl:relcl	_	@juad1986m-words#@juad1986m#1574.837#1575.312
178	а	а	CCONJ	_	_	177	advmod	_	@juad1986m-words#@juad1986m#1576.174#1576.36
179	/	/	PUNCT	_	_	182	punct	_	@juad1986m-words#@juad1986m#1576.36#1576.546
180	Инсар	Инсар	PROPN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	182	nsubj	_	@juad1986m-words#@juad1986m#1576.546#1576.732
181	не	не	PART	_	_	182	advmod	_	@juad1986m-words#@juad1986m#1576.732#1576.918
182	река	река	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	178	parataxis	_	@juad1986m-words#@juad1986m#1576.918#1577.104
183	а	а	CCONJ	_	_	184	cc	_	@juad1986m-words#@juad1986m#1577.104#1577.291
184	город	город	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	182	conj	_	@juad1986m-words#@juad1986m#1577.291#1577.477
185	/	/	PUNCT	_	_	233	punct	_	@juad1986m-words#@juad1986m#1577.477#1577.663
186	да	да	CCONJ	_	_	233	cc	_	@juad1986m-words#@juad1986m#1577.663#1577.849
187	да	да	PART	_	_	188	advmod	_	@juad1986m-words#@juad1986m#1577.849#1578.035
188	да	да	PART	_	_	233	advmod	_	@juad1986m-words#@juad1986m#1578.035#1578.221
189	/	/	PUNCT	_	_	190	punct	_	@juad1986m-words#@juad1986m#1578.221#1578.408
190	нет	нет	PART	_	_	188	conj	_	@juad1986m-words#@juad1986m#1578.408#1578.594
191	/	/	PUNCT	_	_	190	punct	_	@juad1986m-words#@juad1986m#1578.594#1578.78
192	река	река	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	233	nsubj	_	@juad1986m-words#@juad1986m#1578.78#1578.966
193	и	и	CCONJ	_	_	194	cc	_	@juad1986m-words#@juad1986m#1578.966#1579.152
194	город	город	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	192	conj	_	@juad1986m-words#@juad1986m#1579.152#1579.338
195	в	в	ADP	_	_	196	case	_	@juad1986m-words#@juad1986m#1579.338#1579.525
196	Мордовии	Мордовия	PROPN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	233	obl	_	@juad1986m-words#@juad1986m#1579.525#1579.711
197	/	/	PUNCT	_	_	203	punct	_	@juad1986m-words#@juad1986m#1579.711#1579.897
198	да	да	CCONJ	_	_	203	cc	_	@juad1986m-words#@juad1986m#1579.897#1580.083
199	/	/	PUNCT	_	_	203	punct	_	@juad1986m-words#@juad1986m#1580.083#1580.269
200	ааа	ааа	INTJ	_		203	nsubj	_	@juad1986m-words#@juad1986m#1580.269#1580.456
201	ну	ну	PART	_	_	203	parataxis	_	@juad1986m-words#@juad1986m#1582.224#1582.46
202	это	это	DET	_	Case=Nom|Gender=Neut|Number=Sing	203	nsubj	_	@juad1986m-words#@juad1986m#1582.46#1582.696
203	уходит	уходить	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	196	conj	_	@juad1986m-words#@juad1986m#1582.696#1582.933
204	вот	вот	PART	_	_	227	advmod	_	@juad1986m-words#@juad1986m#1582.933#1583.169
205	в	в	ADP	_	_	209	case	_	@juad1986m-words#@juad1986m#1583.169#1583.405
206	те	тот	DET	_	Case=Acc|Number=Plur	209	det	_	@juad1986m-words#@juad1986m#1583.405#1583.642
207	в	в	ADP	_	_	209	case	_	@juad1986m-words#@juad1986m#1583.642#1583.878
208	те	тот	DET	_	Case=Acc|Number=Plur	209	det	_	@juad1986m-words#@juad1986m#1583.878#1584.114
209	места	место	NOUN	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Plur	227	obl	_	@juad1986m-words#@juad1986m#1584.114#1584.351
210	в	в	ADP	_	_	211	case	_	@juad1986m-words#@juad1986m#1584.351#1584.587
211	сторону	сторона	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	209	nmod	_	@juad1986m-words#@juad1986m#1584.587#1584.823
212	Татарстана	Татарстан	PROPN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	211	nmod	_	@juad1986m-words#@juad1986m#1584.823#1585.06
213	/	/	PUNCT	_	_	214	punct	_	@juad1986m-words#@juad1986m#1585.06#1585.296
214	нет	нет	PART	_	_	212	conj	_	@juad1986m-words#@juad1986m#1585.296#1585.532
215	?	?	PUNCT	_	_	214	punct	_	@juad1986m-words#@juad1986m#1585.532#1585.769
